date,likeCount,retweetCount,replyCount,source
2016-09-15 11:42:51+00:00,@TMobileHelp I used to ration data… now I stream in 4K on cellular like a menace. #TMobile,24639,982,264,Twitter Web App
2025-10-08 08:29:49+00:00,My connection speed is basically Morse code.,35933,2004,210,Twitter Web App
2025-10-25 02:09:04+00:00,"@TMobileHelp T-Mobile store employee walked me through everything, elite customer care. #TMobile",41850,868,19,Twitter for Android
2021-11-02 23:54:23+00:00,The 5G UC icon might be the most beautiful thing I've ever seen on my phone. #T-Mobile,9876,888,170,Twitter Web App
2018-05-31 07:36:12+00:00,@TMobileHelp My signal got stage fright and never showed up.,19055,1485,265,Twitter Web App
2018-10-28 21:35:00+00:00,@TMobile Service so good I thought I was on WiFi 😭 #TMobile,20765,2370,206,Twitter for iPhone
2017-02-18 19:23:25+00:00,@TMobileHelp Mentally compiling plan comparison charts. #TMobile,29947,387,104,Twitter Web App
2023-01-31 03:56:13+00:00,@TMobileBusiness Debating if 5G UC really matters. #TMobile,6365,873,64,Twitter for iPhone
2017-01-24 23:42:24+00:00,@TMobileBusiness I used to ration data… now I stream in 4K on cellular like a menace.,42841,1503,4,Twitter for iPhone
2025-07-19 22:37:01+00:00,Considering the Magenta plan but still thinking. #T-Mobile,46234,758,255,Twitter for Android
2020-06-01 01:04:25+00:00,"@TMobileBusiness 5 bars, 0 function. A tragic story in 4 words.",3268,1266,53,Twitter for Android
2022-06-17 20:22:25+00:00,"Officially a TMobile fan account now, idc. #T-Mobile",6144,2414,3,Twitter for Android
2025-04-17 18:53:13+00:00,@TMobileBusiness The 5G UC icon might be the most beautiful thing I've ever seen on my phone.,17513,1044,21,Twitter for iPhone
2018-09-07 18:34:06+00:00,@TMobileBusiness Curious if 5G actually drains more battery. #T-Mobile,14217,1041,38,Twitter for Android
2018-04-30 22:40:15+00:00,@TMobile I just said 'wow' out loud at a speed test result. TMobile exceeding expectations. #T-Mobile,29644,1310,54,Twitter for iPhone
2024-10-26 11:43:08+00:00,@TMobileBusiness Switching to T-Mobile might be my smartest adult decision so far. #T-Mobile,16367,796,294,Twitter for Android
2022-03-06 21:58:30+00:00,@TMobile Data transferring slower than generational trauma. #TMobile,42278,2423,207,Twitter for Android
2020-01-03 06:09:04+00:00,@TMobile Speed test more disappointing than my screen time reports.,133,879,320,Twitter Web App
2017-11-14 20:41:45+00:00,Shoutout to auto-pay for doing the heavy lifting. #TMobile,44580,1270,223,Twitter Web App
2019-10-24 17:28:20+00:00,@TMobileHelp Customer support being kind AND helpful? We love to see it. #TMobile,50636,2094,156,Twitter for iPhone
2023-12-18 14:43:02+00:00,"@TMobileHelp Dropped calls build character, apparently. #TMobile",22615,2059,149,Twitter for iPhone
2025-07-27 22:16:28+00:00,If disappointment had a mascot it would be my signal strength right now.,36042,2375,53,Twitter for Android
2024-10-14 06:30:01+00:00,@TMobile TMobile fixing problems I didn’t even know I had.,27810,2189,16,Twitter for Android
2018-06-04 20:48:03+00:00,@TMobile Not to be dramatic but TMobile 5G kind of changed my life. #T-Mobile,23002,1217,3,Twitter Web App
2015-04-17 20:12:38+00:00,My data loading faster than my brain at this point.,5839,1982,271,Twitter for iPhone
2025-10-15 14:41:26+00:00,"@TMobileHelp Not switching, not hyping. Just existing. #T-Mobile",37478,263,85,Twitter for iPhone
2021-12-31 17:39:07+00:00,@TMobileHelp Went on a road trip through 3 states and never lost reception once. Impressive. #TMobile,6050,1666,201,Twitter for Android
2022-04-21 00:35:42+00:00,The future is 5G and TMobile brought it early.,50986,1140,283,Twitter Web App
2023-02-02 18:33:33+00:00,@TMobileHelp Switched my family plan and everyone noticed the difference instantly. #T-Mobile,15230,620,98,Twitter Web App
