date,text,likes,retweets
2025-11-09 03:04:11+00:00,"As far as MLB ballpark settings go, Dodger Stadium isn't it. I'll take T-Mobile Park &amp; Elliott Bay any day. https://t.co/Gu1dstHBNB https://t.co/rz09bPuxV4",0,0
2025-11-09 03:00:16+00:00,@FrankTruslow @RickyDoggin I was there in front of the capital when the proud boys came marching down the street chanting fuck antifa watched CP move gates watched CP wave them up sidewalk to building. If share pictures but Google or T-Mobile blanked them on my phone. Complete setup,1,0
2025-11-09 02:43:15+00:00,"@naomimccreadie1 @SenAdamSchiff The White House released a donor list for the $300 million ballroom project in October, featuring tech giants like Apple, Meta, Microsoft, Amazon, Google, and Comcast. Other contributors include Caterpillar, T-Mobile, Altria, Booz Allen Hamilton, and individuals such as Miriam",0,0
2025-11-09 02:42:21+00:00,@Oldtimers365 Money for my daughter's future all invested in Black Rock stock. It's a good return. So is Tesla and T-Mobile. She can live off of the interest. I want her to be happier than I could ever be. I've spent my life trying to shape a better world for my daughter. I hope she's happier.,0,0
2025-11-09 02:38:12+00:00,"2025.11.08 Foreign influence is seeping into Washington like a silent cancer. T-Mobile’s parent, Deutsche Telekom, aligns with the CCP, while GE Appliances and Smithfield Foods, both CCP-owned, quietly lobby U.S. regulators and shape trade and manufacturing policy. Behind these https://t.co/RkdI0Nklp7",35,25
2025-11-09 02:37:05+00:00,@Seahawks @PatMcAfeeShow @TMobile Red Sea comin to break the sea chickens little hearts...,0,0
2025-11-09 02:34:06+00:00,@TMobile Watch out for that long left hook 🥊,0,0
2025-11-09 02:30:57+00:00,@UA_CTSN @KalenDeBoer @AlabamaFTBL @TMobile Don’t get cute with play calls in the Red Zone,1,0
2025-11-09 02:29:48+00:00,"""We just got to do some of the simple things better.""

🎙️: Coach @KalenDeBoer to CTSN at the half

#RollTide | @AlabamaFTBL | @TMobile https://t.co/VeAQYQuApe",91,10
2025-11-09 02:25:52+00:00,"@ILAttyGeneral @TMobile @TMobileHelp 
Can someone from your office please contact me in regards to resolving a matter with T-Mobile. False representations and false promotions and failed customer service resolutions. Thank you in advance.",0,0
2025-11-09 02:24:20+00:00,My service has been tweaking all day @TMobile 😑,0,0
2025-11-09 02:23:20+00:00,"@TogetherinParis @TMobile Hi, you can check out the devices and details here: https://t.co/Kuep11Wnqx. Please DM us any questions as we are happy to help with your order. ^NevinBruce",0,0
2025-11-09 02:13:16+00:00,@BurguetteOdin @oppo @OPPOIndonesia How is the signal and data in the usa? How fast the data is with T-Mobile and at&amp;t?,1,0
2025-11-09 02:07:01+00:00,@TMobile This is a dishonest advertisement and you should be punished for it.,0,0
2025-11-09 02:05:58+00:00,"Lyca Mobile - unlimited 
Get unlimited data, talk, and text plus a 10GB high-speed hotspot for only $12.25/mo. for 3 months! Free SIM &amp; free shipping + unlimited calls to 110 countries. Lyca Mobile uses the T-Mobile network. No credit checks.
AD https://t.co/YJjCjI1TCK https://t.co/rF06fKTzLz",0,0
2025-11-09 02:03:28+00:00,@TMobile Great advice! I stress too much on gifts. Got any suggestions?,0,0
2025-11-09 02:00:39+00:00,"So proud to see @TMobile lighting up Friday nights in a big way! 🏈

#TeamMagenta https://t.co/FbEcubebMB",0,0
2025-11-09 01:37:03+00:00,@JDGarre44 @HP @TMobile Thanks for letting us know. Please click on our profile picture and afterwards click the envelope to send us a DM so we can look into this together. ^NevinBruce,0,0
2025-11-09 01:36:46+00:00,"T-Mobile, I’m about to go inside of… you! #VegasBorn https://t.co/Zei365QfNh",5,0
2025-11-09 01:35:22+00:00,"@elonmusk DMV 1000 times better than dealing with Comcast or Hyundai or T-Mobile or….
Very much prefer government services over companies owned by oligarchs.",1,1
